run,dataset,lr,l2_coef,hid_units,n_heads,residual,nonlinearity,param_attn_drop,param_ffd_drop,training_epochs,elapsed_time,min_validation_loss,max_val_accuracy,test_loss,test_accuracy,nhood
0,pubmed,0.005,0.001,[8],"[8, 8]",False,elu,0.6,0.6,447,130.3023099899292,0.609978973865509,0.8140000104904175,0.6248275637626648,0.7870000004768372,1
1,pubmed,0.005,0.001,[8],"[8, 8]",False,elu,0.6,0.6,535,153.75565814971927,0.6085027456283569,0.8179999589920044,0.6458045244216919,0.7799999713897705,1
2,pubmed,0.005,0.001,[8],"[8, 8]",False,elu,0.6,0.6,828,229.2739849090576,0.6021864414215088,0.8080000281333923,0.6497300267219543,0.7819999456405641,1
3,pubmed,0.005,0.001,[8],"[8, 8]",False,elu,0.6,0.6,489,139.99704837799072,0.6015432476997375,0.8159999847412109,0.6609516143798828,0.7719999551773071,1
4,pubmed,0.005,0.001,[8],"[8, 8]",False,elu,0.6,0.6,563,165.28915643692014,0.6026540994644165,0.8159999847412109,0.6669847965240479,0.7729999423027039,1
5,pubmed,0.005,0.001,[8],"[8, 8]",False,elu,0.6,0.6,734,208.14719414710999,0.6048718690872192,0.812000036239624,0.6718023419380188,0.7719999551773071,1
6,pubmed,0.005,0.001,[8],"[8, 8]",False,elu,0.6,0.6,396,115.22243142127992,0.606589674949646,0.8159999847412109,0.6539327502250671,0.7779999375343323,1
7,pubmed,0.005,0.001,[8],"[8, 1]",False,elu,0.6,0.6,658,146.90327119827268,0.6120416522026062,0.8039999604225159,0.6609383821487427,0.7809999585151672,1
8,pubmed,0.005,0.001,[8],"[8, 1]",False,elu,0.6,0.6,526,115.97801470756531,0.6189532876014711,0.8059999942779541,0.6595953702926636,0.7829999327659607,1
9,pubmed,0.005,0.001,[8],"[8, 1]",False,elu,0.6,0.6,650,138.86711740493772,0.6110212206840515,0.8099999427795409,0.7154476642608643,0.7699999809265137,1
10,pubmed,0.005,0.001,[8],"[8, 1]",False,elu,0.6,0.6,616,135.82510304450992,0.6115395426750183,0.8079999685287476,0.7060040235519409,0.7709999680519104,1
11,pubmed,0.005,0.001,[8],"[8, 1]",False,elu,0.6,0.6,634,137.32419180870056,0.6088152527809143,0.8039999604225159,0.6766541600227356,0.7729999423027039,1
12,pubmed,0.005,0.001,[8],"[8, 1]",False,elu,0.6,0.6,483,106.63927626609802,0.6255434155464172,0.8059999942779541,0.665263295173645,0.7819999456405641,1
13,pubmed,0.005,0.001,[8],"[8, 8]",False,elu,0.6,0.6,530,157.6679174900055,0.6041595935821533,0.8199999332427979,0.6520602703094482,0.7809999585151672,2
14,pubmed,0.005,0.001,[8],"[8, 8]",False,elu,0.6,0.6,711,204.44394302368164,0.6049627065658569,0.8180000185966492,0.664329469203949,0.7769999504089355,2
15,pubmed,0.005,0.001,[8],"[8, 8]",False,elu,0.6,0.6,599,169.59031677246094,0.6039950847625732,0.8140000104904175,0.6614862084388733,0.7679999470710754,2
16,pubmed,0.005,0.001,[8],"[8, 8]",False,elu,0.6,0.6,523,152.9123156070709,0.6100472807884216,0.8159999847412109,0.6393262147903442,0.7849999666213989,2
17,pubmed,0.005,0.001,[8],"[8, 8]",False,elu,0.6,0.6,493,142.6463391780853,0.6065225005149841,0.8139999508857727,0.6604010462760925,0.7709999084472656,2
18,pubmed,0.005,0.001,[8],"[8, 8]",False,elu,0.6,0.6,474,143.1217715740204,0.6092024445533752,0.8100000023841858,0.6919233202934265,0.7680000066757202,2
19,pubmed,0.005,0.001,"[8, 8]","[8, 8, 8]",False,elu,0.6,0.6,327,133.6061067581177,0.5479834079742432,0.7999999523162842,0.5801134705543518,0.7669999003410339,2
20,pubmed,0.005,0.001,"[8, 8]","[8, 8, 8]",False,elu,0.6,0.6,389,154.41668224334714,0.5418444275856018,0.8059999942779541,0.5759544372558594,0.7729999423027039,2
21,pubmed,0.005,0.001,"[8, 8]","[8, 8, 8]",False,elu,0.6,0.6,212,92.50963139533995,0.5283224582672119,0.8019999861717224,0.5630759596824646,0.7719999551773071,2
22,pubmed,0.005,0.001,"[8, 8]","[8, 8, 8]",False,elu,0.6,0.6,257,106.4641489982605,0.5766069293022156,0.7919999957084656,0.6477007269859314,0.718999981880188,2
23,pubmed,0.005,0.001,"[8, 8]","[8, 8, 8]",False,elu,0.6,0.6,217,96.8416826725006,0.5389729738235474,0.8039999604225159,0.5822011232376099,0.7599999308586121,2
24,pubmed,0.005,0.001,"[8, 8]","[8, 8, 8]",False,elu,0.6,0.6,213,90.58017492294312,0.5607947111129761,0.7979999780654907,0.6130979657173157,0.7369999289512634,2
